guest_id,first_name,last_name,email,country,guest_segment,is_loyalty_member,updated_at
G1000,Lucas,Garcia,lucas.garcia670@example.com,Spain,VIP,True,2025-02-16 07:48:39
G1001,Olivia,Thomas,olivia.thomas577@example.com,Germany,Staff,False,2025-02-06 00:32:54
G1002,Olivia,Brown,olivia.brown324@example.com,UK,Business,False,2025-02-15 11:32:08
G1003,Noah,Thompson,noah.thompson869@example.com,USA,Business,False,2025-02-25 04:37:23
G1004,Noah,Johnson,noah.johnson351@example.com,Netherlands,Business,False,2025-02-15 18:12:18
G1005,Alexander,Johnson,alexander.johnson968@example.com,Italy,Business,True,2025-02-24 12:18:18
G1006,Charlotte,Brown,charlotte.brown925@example.com,Australia,Leisure,True,2025-02-27 11:10:55
G1007,Alexander,Anderson,alexander.anderson111@example.com,Germany,Staff,False,2025-02-09 01:55:19
G1008,James,Thompson,james.thompson294@example.com,Poland,VIP,False,2025-02-18 13:29:22
G1009,Isabella,Smith,isabella.smith740@example.com,Netherlands,VIP,False,2025-02-28 15:00:03
G1010,Charlotte,Garcia,charlotte.garcia254@example.com,Canada,Leisure,True,2025-02-06 11:42:43
G1011,Emma,Thompson,emma.thompson308@example.com,Poland,Leisure,True,2025-02-05 12:12:43
G1012,William,Anderson,william.anderson340@example.com,Australia,VIP,True,2025-02-18 23:34:44
G1013,William,Thomas,william.thomas13@example.com,Netherlands,VIP,False,2025-02-24 02:11:49
G1014,Emma,Smith,emma.smith258@example.com,Italy,Leisure,False,2025-02-08 12:04:58
G1015,Charlotte,Anderson,charlotte.anderson17@example.com,Germany,Leisure,False,2025-02-09 04:48:02
G1016,Liam,Thompson,liam.thompson774@example.com,Netherlands,Business,True,2025-02-07 10:25:30
G1017,Sophia,White,sophia.white788@example.com,Poland,Leisure,False,2025-02-20 15:15:47
G1018,Elijah,Brown,elijah.brown582@example.com,Germany,Leisure,True,2025-02-01 13:48:47
G1019,Ava,Martin,ava.martin687@example.com,Italy,Leisure,True,2025-02-08 01:55:38
G1020,Liam,Johnson,liam.johnson352@example.com,Poland,Leisure,True,2025-02-13 00:36:44
G1021,James,Jackson,james.jackson494@example.com,Germany,VIP,False,2025-02-04 18:52:05
G1022,Lucas,White,lucas.white705@example.com,Netherlands,Staff,False,2025-02-25 00:23:22
G1023,Olivia,Brown,olivia.brown19@example.com,Netherlands,Business,True,2025-02-06 21:40:48
G1024,Henry,Martin,henry.martin321@example.com,Netherlands,Leisure,True,2025-02-18 19:23:28
G1025,Noah,Brown,noah.brown910@example.com,Canada,Business,False,2025-02-26 11:46:54
G1026,Ava,White,ava.white977@example.com,Canada,VIP,True,2025-02-12 15:50:52
G1027,Elijah,White,elijah.white643@example.com,Poland,Staff,False,2025-02-02 14:41:05
G1028,Sophia,Smith,sophia.smith598@example.com,Germany,Leisure,False,2025-02-09 06:43:35
G1029,Mia,Taylor,mia.taylor561@example.com,Poland,VIP,False,2025-02-11 12:54:23
